machineId,state,scenario,engineHours,fuelLevelLitres,fuelConsumptionRateLph,loadCycles,idleTime,engineRpm,engineTemperature,hydraulicTemperature,vibration,seatbeltStatus,eta_minutes
EXC001,STARTING,SEATBELT_VIOLATION,1166.32,110.53,8,632,368.2,850,89,86,1.04,false,64.38
EXC001,OPERATING,NORMAL,1153.69,287.65,14,103,57.87,1050,80,72,0.8,true,24.87
EXC002,LOADING,HIGH_VIBRATION,1353.98,214.61,22,321,204.8,1600,84,76,1.12,true,47.34
EXC003,IDLE,PROXIMITY_HAZARD,1237.35,153.11,4,486,302.8,700,74,77,0.15,true,53.52
EXC002,STARTING,HIGH_VIBRATION,1364.67,64.48,8,764,462.6,600,74,68,1.12,true,74.67
EXC001,TRANSPORTING,NORMAL,1163.33,151.73,18,509,286.2,1600,84,82,0.55,true,48.01
EXC002,TRANSPORTING,NORMAL,1361.81,104.28,18,648,391.53,1600,84,82,0.72,true,54.05
EXC002,IDLE,NORMAL,1356.61,177.3,4,431,264.07,1150,80,83,1.04,true,46.02
EXC003,OPERATING,NORMAL,1231.88,229.57,14,260,163.13,1050,80,72,0.35,true,32.26
EXC002,STARTING,NORMAL,1364.83,62.24,8,772,467.4,700,84,86,0.49,true,65.18
EXC002,STARTING,NORMAL,1356.82,174.32,8,440,268.47,900,81,78,0.88,true,47.18
EXC001,TRANSPORTING,NORMAL,1166.69,105.08,18,649,375.2,1600,84,82,0.55,true,53.99
EXC001,LOADING,NORMAL,1163.34,151.47,22,510,286.87,1800,88,90,0.96,true,50.16
EXC001,TRANSPORTING,NORMAL,1159.38,207.64,18,344,190.67,1700,86,82,0.57,true,35.63
EXC002,TRANSPORTING,NORMAL,1361.86,103.58,18,650,392.47,1600,84,82,0.55,true,58.26
EXC002,LOADING,NORMAL,1355.28,196.24,22,375,234.27,1850,86,78,0.59,true,36.32
EXC001,IDLE,NORMAL,1163.97,142.97,4,534,306.4,1000,78,81,0.29,true,51.22
EXC002,LOADING,NORMAL,1358.87,145.85,22,521,323.27,1450,82,74,0.43,true,45.01
EXC001,IDLE,NORMAL,1157.53,233.42,4,268,144.87,1150,80,83,0.48,true,36.29
EXC001,UNLOADING,NORMAL,1169.16,70.38,16,750,431.8,1300,87,85,0.45,true,63.1
EXC001,STARTING,NORMAL,1168.05,86.14,8,704,408.87,850,74,75,0.23,true,58.22
EXC002,TRANSPORTING,NORMAL,1350.86,258.4,18,189,126.53,1600,84,82,0.96,true,32.19
EXC003,IDLE,NORMAL,1238.55,136.63,4,536,338.27,300,70,67,0.4,true,50.42
EXC001,TRANSPORTING,NORMAL,1156.99,241.01,18,244,129.6,1600,87,86,0.55,true,32.12
